,Unnamed: 0,id,full_name,Age,FG_PCT,FGA/GP,FG3A/GP,FG3_PCT,REB/GP,AST/GP,STL/GP,PTS/GP,labels,labels_cat
374,374,1628420,Monte Morris,27.0,0.5085000000000001,7.392518247858084,2.5409201493792843,0.3521666666666667,2.4525198631321783,3.7216540999131937,0.8106232469931811,9.1810867595706,0,0
375,375,202694,Marcus Morris Sr.,33.0,0.4374375,9.83966172724397,3.9732625726420223,0.362,4.289905411181237,1.3229719408849667,0.6691056056369835,11.894974818067308,0,0
376,376,1628539,Mychal Mulder,28.0,0.3696,5.596834733893557,4.247675070028011,0.3606,1.7194957983193278,0.6140616246498599,0.1975350140056022,6.26843137254902,3,3
377,377,1630530,Trey Murphy III,22.0,0.5115000000000001,6.608870967741936,3.875,0.533,4.435483870967742,0.8064516129032258,0.685483870967742,10.443548387096774,0,0
378,378,1627749,Dejounte Murray,26.0,0.4438333333333333,11.66832978030281,2.500085515271454,0.3364999999999999,5.90234556413915,5.184928172617435,1.6044583021797054,12.91464060040874,4,4
379,379,1627750,Jamal Murray,25.0,0.435,13.71768208473045,5.320449459610729,0.3493333333333333,3.5907926829268297,3.8619910171873215,1.076586624748859,16.12635455847653,4,4
380,380,203488,Mike Muscala,31.0,0.4620833333333333,5.009547745285684,2.7124791183639907,0.3414999999999999,3.401545785415732,0.8628286466209847,0.2984026698419262,6.454044160694185,3,3
381,381,1629004,Svi Mykhailiuk,25.0,0.4374444444444444,5.009974901641567,3.1542503792503798,0.4285555555555556,1.7097248430581762,1.197059422059422,0.5021284271284272,5.632927257927259,3,3
382,382,1627846,Abdel Nader,28.0,0.4122,3.748781669150522,1.6224900645802287,0.3508,1.9421785182031084,0.5704222553402881,0.4093291817472145,4.4720903413526365,3,3
383,383,1626204,Larry Nance Jr.,29.0,0.5433333333333333,6.185215610625247,1.1446639311783695,0.2864166666666667,6.170821905227324,1.806982391237745,1.0923265314772452,8.043407848684454,1,1
384,384,1630612,RJ Nembhard Jr.,23.0,0.333,1.2857142857142858,0.1428571428571428,0.0,0.5,0.8571428571428571,0.0714285714285714,1.0714285714285714,2,2
